L1000	HGNC
SRC	SRC
XPO7	XPO7
PIN1	PIN1
NGRN	NGRN
CSRP1	CSRP1
FCHO1	FCHO1
SLC35F2	SLC35F2
AMDHD2	AMDHD2
PPP2R3C	PPP2R3C
PNP	PNP
DUSP22	DUSP22
SLC25A46	SLC25A46
CAMSAP2	CAMSAP2
ZNF589	ZNF589
SMNDC1	SMNDC1
MAN2B1	MAN2B1
FHL2	FHL2
HYOU1	HYOU1
MBOAT7	MBOAT7
MKNK1	MKNK1
ICAM3	ICAM3
P4HTM	P4HTM
CBLB	CBLB
NFE2L2	NFE2L2
RAB11FIP2	RAB11FIP2
SLC35A1	SLC35A1
GNAI1	GNAI1
HPRT1	HPRT1
PLCB3	PLCB3
ALDH7A1	ALDH7A1
PLSCR3	PLSCR3
EPN2	EPN2
APP	APP
SMARCA4	SMARCA4
TIMM22	TIMM22
TIMP2	TIMP2
PLA2G15	PLA2G15
RPA3	RPA3
NR2F6	NR2F6
YTHDF1	YTHDF1
PPP1R13B	PPP1R13B
KLHL9	KLHL9
COG7	COG7
TIMM9	TIMM9
HS2ST1	HS2ST1
HIST2H2BE	H2BC21
GOLT1B	GOLT1B
HADH	HADH
SSBP2	SSBP2
VPS28	VPS28
RPN1	RPN1
MAST2	MAST2
WRB	GET1
SUPV3L1	SUPV3L1
NMT1	NMT1
CCNA2	CCNA2
PIK3R3	PIK3R3
ABL1	ABL1
TOPBP1	TOPBP1
IFNAR1	IFNAR1
CDC20	CDC20
MEST	MEST
LSM5	LSM5
CDK4	CDK4
S100A4	S100A4
YKT6	YKT6
HLA-DMA	HLA-DMA
PHKG2	PHKG2
PPARD	PPARD
DNAJA3	DNAJA3
CASP3	CASP3
NUDT9	NUDT9
CTSD	CTSD
TMEM2	CEMIP2
WDTC1	WDTC1
MOK	MOK
EAPP	EAPP
FAH	FAH
KIAA0100	KIAA0100
CETN3	CETN3
HMGCS1	HMGCS1
CDC42	CDC42
GLRX	GLRX
MFSD10	MFSD10
PAPD7	TENT4A
PRUNE	PRUNE1
TSPAN6	TSPAN6
PAICS	PAICS
GTPBP8	GTPBP8
TGFB3	TGFB3
ANXA7	ANXA7
PRKAG2	PRKAG2
MCOLN1	MCOLN1
SDHB	SDHB
LGALS8	LGALS8
GPER1	GPER1
MYCBP	MYCBP
SLC1A4	SLC1A4
GFPT1	GFPT1
KDM5A	KDM5A
NOTCH1	NOTCH1
LAP3	LAP3
ST3GAL5	ST3GAL5
PRR7	PRR7
RPIA	RPIA
EDN1	EDN1
RPL39L	RPL39L
CAB39	CAB39
TESK1	TESK1
THAP11	THAP11
HMG20B	HMG20B
SHB	SHB
PLEKHM1	PLEKHM1
HACD3	HACD3
ABHD6	ABHD6
MCUR1	MCUR1
PTK2B	PTK2B
CSNK1E	CSNK1E
PPOX	PPOX
IKBKB	IKBKB
DNMT3A	DNMT3A
CTNND1	CTNND1
CCNH	CCNH
PCNA	PCNA
TBP	TBP
FZD1	FZD1
HIF1A	HIF1A
MRPS16	MRPS16
LRRC16A	CARMIL1
MAPK1IP1L	MAPK1IP1L
MBTPS1	MBTPS1
ASAH1	ASAH1
PIK3CA	PIK3CA
MYCBP2	MYCBP2
FBXL12	FBXL12
FUT1	FUT1
PLA2G4A	PLA2G4A
SORBS3	SORBS3
TMEM5	RXYLT1
LYRM1	LYRM1
RELB	RELB
DMTF1	DMTF1
PSMF1	PSMF1
EPHA3	EPHA3
EVL	EVL
SFN	SFN
SH3BP5	SH3BP5
CHMP4A	CHMP4A
RBM6	RBM6
PSME1	PSME1
LRP10	LRP10
WDR61	WDR61
CRYZ	CRYZ
ALAS1	ALAS1
DNAJB1	DNAJB1
CALM3	CALM3
KIF20A	KIF20A
ADCK3	COQ8A
TRAPPC6A	TRAPPC6A
TBPL1	TBPL1
MEF2C	MEF2C
PAFAH1B1	PAFAH1B1
TNFRSF21	TNFRSF21
IARS2	IARS2
FAM20B	FAM20B
TMEM50A	TMEM50A
STK10	STK10
COASY	COASY
NR1H2	NR1H2
HMGA2	HMGA2
SCYL3	SCYL3
HERC6	HERC6
CDCA4	CDCA4
SLC35A3	SLC35A3
PSMD2	PSMD2
IL4R	IL4R
SYK	SYK
CYCS	CYCS
HOXA5	HOXA5
VAV3	VAV3
GNA11	GNA11
RRP8	RRP8
ATMIN	ATMIN
PLK1	PLK1
NFATC3	NFATC3
CXCR4	CXCR4
EBP	EBP
KIT	KIT
CDKN2A	CDKN2A
TOR1A	TOR1A
GATA3	GATA3
GNAS	GNAS
HMGCR	HMGCR
NFKBIE	NFKBIE
ZNF395	ZNF395
UBE2C	UBE2C
HSPD1	HSPD1
SLC27A3	SLC27A3
ACOT9	ACOT9
PDGFA	PDGFA
STAP2	STAP2
TRAPPC3	TRAPPC3
SPAG4	SPAG4
LIPA	LIPA
NARFL	CIAO3
PAFAH1B3	PAFAH1B3
DENND2D	DENND2D
RSU1	RSU1
SESN1	SESN1
PRKCH	PRKCH
SMARCC1	SMARCC1
IGF2R	IGF2R
ERO1L	ERO1A
GALE	GALE
DDB2	DDB2
CCNB1	CCNB1
BAG3	BAG3
GADD45A	GADD45A
NCK1	NCK1
STAT1	STAT1
ARID5B	ARID5B
TXNDC9	TXNDC9
MYBL2	MYBL2
CCNB2	CCNB2
RFC5	RFC5
NIPSNAP1	NIPSNAP1
STX4	STX4
ARFIP2	ARFIP2
ITGB1BP1	ITGB1BP1
PAN2	PAN2
RBM15B	RBM15B
RPS5	RPS5
ADH5	ADH5
KDM3A	KDM3A
GRN	GRN
NPC1	NPC1
MAPKAPK5	MAPKAPK5
EGFR	EGFR
SNX11	SNX11
PECR	PECR
ERBB3	ERBB3
HAT1	HAT1
SPR	SPR
LAGE3	LAGE3
CSK	CSK
PNKP	PNKP
IER3	IER3
PLSCR1	PLSCR1
HSD17B10	HSD17B10
PIP4K2B	PIP4K2B
BNIP3	BNIP3
DFFB	DFFB
PGM1	PGM1
KIAA0753	KIAA0753
PRKX	PRKX
GLI2	GLI2
BCL2	BCL2
CPSF4	CPSF4
KIF1BP	KIFBP
AURKA	AURKA
CREB1	CREB1
TMED10	TMED10
NUSAP1	NUSAP1
CHN1	CHN1
CNPY3	CNPY3
POLE2	POLE2
